grado_celcius,grado_fahrenheit,grado_kelvin
-98130,-176602,-97856.85
-98125,-176593,-97851.85
-98120,-176584,-97846.85
-98115,-176575,-97841.85
-98110,-176566,-97836.85
-98105,-176557,-97831.85
-98100,-176548,-97826.85
-98095,-176539,-97821.85
-98090,-176530,-97816.85
-98085,-176521,-97811.85
-98080,-176512,-97806.85
-98075,-176503,-97801.85
-98070,-176494,-97796.85
-98065,-176485,-97791.85
-98060,-176476,-97786.85
-98055,-176467,-97781.85
-98050,-176458,-97776.85
-98045,-176449,-97771.85
-98040,-176440,-97766.85
-98035,-176431,-97761.85
-98030,-176422,-97756.85
-98025,-176413,-97751.85
-98020,-176404,-97746.85
-98015,-176395,-97741.85
-98010,-176386,-97736.85
-98005,-176377,-97731.85
-98000,-176368,-97726.85
-97995,-176359,-97721.85
-97990,-176350,-97716.85
-97985,-176341,-97711.85
-97980,-176332,-97706.85
-97975,-176323,-97701.85
-97970,-176314,-97696.85
-97965,-176305,-97691.85
-97960,-176296,-97686.85
-97955,-176287,-97681.85
-97950,-176278,-97676.85
-97945,-176269,-97671.85
-97940,-176260,-97666.85
-97935,-176251,-97661.85
-97930,-176242,-97656.85
-97925,-176233,-97651.85
-97920,-176224,-97646.85
-97915,-176215,-97641.85
-97910,-176206,-97636.85
-97905,-176197,-97631.85
-97900,-176188,-97626.85
-97895,-176179,-97621.85
-97890,-176170,-97616.85
-97885,-176161,-97611.85
-97880,-176152,-97606.85
-97875,-176143,-97601.85
-97870,-176134,-97596.85
-97865,-176125,-97591.85
-97860,-176116,-97586.85
-97855,-176107,-97581.85
-97850,-176098,-97576.85
-97845,-176089,-97571.85
-97840,-176080,-97566.85
-97835,-176071,-97561.85
-97830,-176062,-97556.85
-97825,-176053,-97551.85
-97820,-176044,-97546.85
-97815,-176035,-97541.85
-97810,-176026,-97536.85
-97805,-176017,-97531.85
-97800,-176008,-97526.85
-97795,-175999,-97521.85
-97790,-175990,-97516.85
-97785,-175981,-97511.85
-97780,-175972,-97506.85
-97775,-175963,-97501.85
-97770,-175954,-97496.85
-97765,-175945,-97491.85
-97760,-175936,-97486.85
-97755,-175927,-97481.85
-97750,-175918,-97476.85
-97745,-175909,-97471.85
-97740,-175900,-97466.85
-97735,-175891,-97461.85
-97730,-175882,-97456.85
-97725,-175873,-97451.85
-97720,-175864,-97446.85
-97715,-175855,-97441.85
-97710,-175846,-97436.85
-97705,-175837,-97431.85
-97700,-175828,-97426.85
-97695,-175819,-97421.85
-97690,-175810,-97416.85
-97685,-175801,-97411.85
-97680,-175792,-97406.85
-97675,-175783,-97401.85
-97670,-175774,-97396.85
-97665,-175765,-97391.85
-97660,-175756,-97386.85
-97655,-175747,-97381.85
-97650,-175738,-97376.85
-97645,-175729,-97371.85
-97640,-175720,-97366.85
-97635,-175711,-97361.85
-97630,-175702,-97356.85
-97625,-175693,-97351.85
-97620,-175684,-97346.85
-97615,-175675,-97341.85
-97610,-175666,-97336.85
-97605,-175657,-97331.85
-97600,-175648,-97326.85
-97595,-175639,-97321.85
-97590,-175630,-97316.85
-97585,-175621,-97311.85
-97580,-175612,-97306.85
-97575,-175603,-97301.85
-97570,-175594,-97296.85
-97565,-175585,-97291.85
-97560,-175576,-97286.85
-97555,-175567,-97281.85
-97550,-175558,-97276.85
-97545,-175549,-97271.85
-97540,-175540,-97266.85
-97535,-175531,-97261.85
-97530,-175522,-97256.85
-97525,-175513,-97251.85
-97520,-175504,-97246.85
-97515,-175495,-97241.85
-97510,-175486,-97236.85
-97505,-175477,-97231.85
-97500,-175468,-97226.85
-97495,-175459,-97221.85
-97490,-175450,-97216.85
-97485,-175441,-97211.85
-97480,-175432,-97206.85
-97475,-175423,-97201.85
-97470,-175414,-97196.85
-97465,-175405,-97191.85
-97460,-175396,-97186.85
-97455,-175387,-97181.85
-97450,-175378,-97176.85
-97445,-175369,-97171.85
-97440,-175360,-97166.85
-97435,-175351,-97161.85
-97430,-175342,-97156.85
-97425,-175333,-97151.85
-97420,-175324,-97146.85
-97415,-175315,-97141.85
-97410,-175306,-97136.85
-97405,-175297,-97131.85
-97400,-175288,-97126.85
-97395,-175279,-97121.85
-97390,-175270,-97116.85
-97385,-175261,-97111.85
-97380,-175252,-97106.85
-97375,-175243,-97101.85
-97370,-175234,-97096.85
-97365,-175225,-97091.85
-97360,-175216,-97086.85
-97355,-175207,-97081.85
-97350,-175198,-97076.85
-97345,-175189,-97071.85
-97340,-175180,-97066.85
-97335,-175171,-97061.85
-97330,-175162,-97056.85
-97325,-175153,-97051.85
-97320,-175144,-97046.85
-97315,-175135,-97041.85
-97310,-175126,-97036.85
-97305,-175117,-97031.85
-97300,-175108,-97026.85
-97295,-175099,-97021.85
-97290,-175090,-97016.85
-97285,-175081,-97011.85
-97280,-175072,-97006.85
-97275,-175063,-97001.85
-97270,-175054,-96996.85
-97265,-175045,-96991.85
-97260,-175036,-96986.85
-97255,-175027,-96981.85
-97250,-175018,-96976.85
-97245,-175009,-96971.85
-97240,-175000,-96966.85
-97235,-174991,-96961.85
-97230,-174982,-96956.85
-97225,-174973,-96951.85
-97220,-174964,-96946.85
-97215,-174955,-96941.85
-97210,-174946,-96936.85
-97205,-174937,-96931.85
-97200,-174928,-96926.85
-97195,-174919,-96921.85
-97190,-174910,-96916.85
-97185,-174901,-96911.85
-97180,-174892,-96906.85
-97175,-174883,-96901.85
-97170,-174874,-96896.85
-97165,-174865,-96891.85
-97160,-174856,-96886.85
-97155,-174847,-96881.85
-97150,-174838,-96876.85
-97145,-174829,-96871.85
-97140,-174820,-96866.85
-97135,-174811,-96861.85
-97130,-174802,-96856.85
-97125,-174793,-96851.85
-97120,-174784,-96846.85
-97115,-174775,-96841.85
-97110,-174766,-96836.85
-97105,-174757,-96831.85
-97100,-174748,-96826.85
-97095,-174739,-96821.85
-97090,-174730,-96816.85
-97085,-174721,-96811.85
-97080,-174712,-96806.85
-97075,-174703,-96801.85
-97070,-174694,-96796.85
-97065,-174685,-96791.85
-97060,-174676,-96786.85
-97055,-174667,-96781.85
-97050,-174658,-96776.85
-97045,-174649,-96771.85
-97040,-174640,-96766.85
-97035,-174631,-96761.85
-97030,-174622,-96756.85
-97025,-174613,-96751.85
-97020,-174604,-96746.85
-97015,-174595,-96741.85
-97010,-174586,-96736.85
-97005,-174577,-96731.85
-97000,-174568,-96726.85
-96995,-174559,-96721.85
-96990,-174550,-96716.85
-96985,-174541,-96711.85
-96980,-174532,-96706.85
-96975,-174523,-96701.85
-96970,-174514,-96696.85
-96965,-174505,-96691.85
-96960,-174496,-96686.85
-96955,-174487,-96681.85
-96950,-174478,-96676.85
-96945,-174469,-96671.85
-96940,-174460,-96666.85
-96935,-174451,-96661.85
-96930,-174442,-96656.85
-96925,-174433,-96651.85
-96920,-174424,-96646.85
-96915,-174415,-96641.85
-96910,-174406,-96636.85
-96905,-174397,-96631.85
-96900,-174388,-96626.85
-96895,-174379,-96621.85
-96890,-174370,-96616.85
-96885,-174361,-96611.85
-96880,-174352,-96606.85
-96875,-174343,-96601.85
-96870,-174334,-96596.85
-96865,-174325,-96591.85
-96860,-174316,-96586.85
-96855,-174307,-96581.85
-96850,-174298,-96576.85
-96845,-174289,-96571.85
-96840,-174280,-96566.85
-96835,-174271,-96561.85
-96830,-174262,-96556.85
-96825,-174253,-96551.85
-96820,-174244,-96546.85
-96815,-174235,-96541.85
-96810,-174226,-96536.85
-96805,-174217,-96531.85
-96800,-174208,-96526.85
-96795,-174199,-96521.85
-96790,-174190,-96516.85
-96785,-174181,-96511.85
-96780,-174172,-96506.85
-96775,-174163,-96501.85
-96770,-174154,-96496.85
-96765,-174145,-96491.85
-96760,-174136,-96486.85
-96755,-174127,-96481.85
-96750,-174118,-96476.85
-96745,-174109,-96471.85
-96740,-174100,-96466.85
-96735,-174091,-96461.85
-96730,-174082,-96456.85
-96725,-174073,-96451.85
-96720,-174064,-96446.85
-96715,-174055,-96441.85
-96710,-174046,-96436.85
-96705,-174037,-96431.85
-96700,-174028,-96426.85
-96695,-174019,-96421.85
-96690,-174010,-96416.85
-96685,-174001,-96411.85
-96680,-173992,-96406.85
-96675,-173983,-96401.85
-96670,-173974,-96396.85
-96665,-173965,-96391.85
-96660,-173956,-96386.85
-96655,-173947,-96381.85
-96650,-173938,-96376.85
-96645,-173929,-96371.85
-96640,-173920,-96366.85
-96635,-173911,-96361.85
-96630,-173902,-96356.85
-96625,-173893,-96351.85
-96620,-173884,-96346.85
-96615,-173875,-96341.85
-96610,-173866,-96336.85
-96605,-173857,-96331.85
-96600,-173848,-96326.85
-96595,-173839,-96321.85
-96590,-173830,-96316.85
-96585,-173821,-96311.85
-96580,-173812,-96306.85
-96575,-173803,-96301.85
-96570,-173794,-96296.85
-96565,-173785,-96291.85
-96560,-173776,-96286.85
-96555,-173767,-96281.85
-96550,-173758,-96276.85
-96545,-173749,-96271.85
-96540,-173740,-96266.85
-96535,-173731,-96261.85
-96530,-173722,-96256.85
-96525,-173713,-96251.85
-96520,-173704,-96246.85
-96515,-173695,-96241.85
-96510,-173686,-96236.85
-96505,-173677,-96231.85
-96500,-173668,-96226.85
-96495,-173659,-96221.85
-96490,-173650,-96216.85
-96485,-173641,-96211.85
-96480,-173632,-96206.85
-96475,-173623,-96201.85
-96470,-173614,-96196.85
-96465,-173605,-96191.85
-96460,-173596,-96186.85
-96455,-173587,-96181.85
-96450,-173578,-96176.85
-96445,-173569,-96171.85
-96440,-173560,-96166.85
-96435,-173551,-96161.85
-96430,-173542,-96156.85
-96425,-173533,-96151.85
-96420,-173524,-96146.85
-96415,-173515,-96141.85
-96410,-173506,-96136.85
-96405,-173497,-96131.85
-96400,-173488,-96126.85
-96395,-173479,-96121.85
-96390,-173470,-96116.85
-96385,-173461,-96111.85
-96380,-173452,-96106.85
-96375,-173443,-96101.85
-96370,-173434,-96096.85
-96365,-173425,-96091.85
-96360,-173416,-96086.85
-96355,-173407,-96081.85
-96350,-173398,-96076.85
-96345,-173389,-96071.85
-96340,-173380,-96066.85
-96335,-173371,-96061.85
-96330,-173362,-96056.85
-96325,-173353,-96051.85
-96320,-173344,-96046.85
-96315,-173335,-96041.85
-96310,-173326,-96036.85
-96305,-173317,-96031.85
-96300,-173308,-96026.85
-96295,-173299,-96021.85
-96290,-173290,-96016.85
-96285,-173281,-96011.85
-96280,-173272,-96006.85
-96275,-173263,-96001.85
-96270,-173254,-95996.85
-96265,-173245,-95991.85
-96260,-173236,-95986.85
-96255,-173227,-95981.85
-96250,-173218,-95976.85
-96245,-173209,-95971.85
-96240,-173200,-95966.85
-96235,-173191,-95961.85
-96230,-173182,-95956.85
-96225,-173173,-95951.85
-96220,-173164,-95946.85
-96215,-173155,-95941.85
-96210,-173146,-95936.85
-96205,-173137,-95931.85
-96200,-173128,-95926.85
-96195,-173119,-95921.85
-96190,-173110,-95916.85
-96185,-173101,-95911.85
-96180,-173092,-95906.85
-96175,-173083,-95901.85
-96170,-173074,-95896.85
-96165,-173065,-95891.85
-96160,-173056,-95886.85
-96155,-173047,-95881.85
-96150,-173038,-95876.85
-96145,-173029,-95871.85
-96140,-173020,-95866.85
-96135,-173011,-95861.85
-96130,-173002,-95856.85
-96125,-172993,-95851.85
-96120,-172984,-95846.85
-96115,-172975,-95841.85
-96110,-172966,-95836.85
-96105,-172957,-95831.85
-96100,-172948,-95826.85
-96095,-172939,-95821.85
-96090,-172930,-95816.85
-96085,-172921,-95811.85
-96080,-172912,-95806.85
-96075,-172903,-95801.85
-96070,-172894,-95796.85
-96065,-172885,-95791.85
-96060,-172876,-95786.85
-96055,-172867,-95781.85
-96050,-172858,-95776.85
-96045,-172849,-95771.85
-96040,-172840,-95766.85
-96035,-172831,-95761.85
-96030,-172822,-95756.85
-96025,-172813,-95751.85
-96020,-172804,-95746.85
-96015,-172795,-95741.85
-96010,-172786,-95736.85
-96005,-172777,-95731.85
-96000,-172768,-95726.85
-95995,-172759,-95721.85
-95990,-172750,-95716.85
-95985,-172741,-95711.85
-95980,-172732,-95706.85
-95975,-172723,-95701.85
-95970,-172714,-95696.85
-95965,-172705,-95691.85
-95960,-172696,-95686.85
-95955,-172687,-95681.85
-95950,-172678,-95676.85
-95945,-172669,-95671.85
-95940,-172660,-95666.85
-95935,-172651,-95661.85
-95930,-172642,-95656.85
-95925,-172633,-95651.85
-95920,-172624,-95646.85
-95915,-172615,-95641.85
-95910,-172606,-95636.85
-95905,-172597,-95631.85
-95900,-172588,-95626.85
-95895,-172579,-95621.85
-95890,-172570,-95616.85
-95885,-172561,-95611.85
-95880,-172552,-95606.85
-95875,-172543,-95601.85
-95870,-172534,-95596.85
-95865,-172525,-95591.85
-95860,-172516,-95586.85
-95855,-172507,-95581.85
-95850,-172498,-95576.85
-95845,-172489,-95571.85
-95840,-172480,-95566.85
-95835,-172471,-95561.85
-95830,-172462,-95556.85
-95825,-172453,-95551.85
-95820,-172444,-95546.85
-95815,-172435,-95541.85
-95810,-172426,-95536.85
-95805,-172417,-95531.85
-95800,-172408,-95526.85
-95795,-172399,-95521.85
-95790,-172390,-95516.85
-95785,-172381,-95511.85
-95780,-172372,-95506.85
-95775,-172363,-95501.85
-95770,-172354,-95496.85
-95765,-172345,-95491.85
-95760,-172336,-95486.85
-95755,-172327,-95481.85
-95750,-172318,-95476.85
-95745,-172309,-95471.85
-95740,-172300,-95466.85
-95735,-172291,-95461.85
-95730,-172282,-95456.85
-95725,-172273,-95451.85
-95720,-172264,-95446.85
-95715,-172255,-95441.85
-95710,-172246,-95436.85
-95705,-172237,-95431.85
-95700,-172228,-95426.85
-95695,-172219,-95421.85
-95690,-172210,-95416.85
-95685,-172201,-95411.85
-95680,-172192,-95406.85
-95675,-172183,-95401.85
-95670,-172174,-95396.85
-95665,-172165,-95391.85
-95660,-172156,-95386.85
-95655,-172147,-95381.85
-95650,-172138,-95376.85
-95645,-172129,-95371.85
-95640,-172120,-95366.85
-95635,-172111,-95361.85
-95630,-172102,-95356.85
-95625,-172093,-95351.85
-95620,-172084,-95346.85
-95615,-172075,-95341.85
-95610,-172066,-95336.85
-95605,-172057,-95331.85
-95600,-172048,-95326.85
-95595,-172039,-95321.85
-95590,-172030,-95316.85
-95585,-172021,-95311.85
-95580,-172012,-95306.85
-95575,-172003,-95301.85
-95570,-171994,-95296.85
-95565,-171985,-95291.85
-95560,-171976,-95286.85
-95555,-171967,-95281.85
-95550,-171958,-95276.85
-95545,-171949,-95271.85
-95540,-171940,-95266.85
-95535,-171931,-95261.85
-95530,-171922,-95256.85
-95525,-171913,-95251.85
-95520,-171904,-95246.85
-95515,-171895,-95241.85
-95510,-171886,-95236.85
-95505,-171877,-95231.85
-95500,-171868,-95226.85
-95495,-171859,-95221.85
-95490,-171850,-95216.85
-95485,-171841,-95211.85
-95480,-171832,-95206.85
-95475,-171823,-95201.85
-95470,-171814,-95196.85
-95465,-171805,-95191.85
-95460,-171796,-95186.85
-95455,-171787,-95181.85
-95450,-171778,-95176.85
-95445,-171769,-95171.85
-95440,-171760,-95166.85
-95435,-171751,-95161.85
-95430,-171742,-95156.85
-95425,-171733,-95151.85
-95420,-171724,-95146.85
-95415,-171715,-95141.85
-95410,-171706,-95136.85
-95405,-171697,-95131.85
-95400,-171688,-95126.85
-95395,-171679,-95121.85
-95390,-171670,-95116.85
-95385,-171661,-95111.85
-95380,-171652,-95106.85
-95375,-171643,-95101.85
-95370,-171634,-95096.85
-95365,-171625,-95091.85
-95360,-171616,-95086.85
-95355,-171607,-95081.85
-95350,-171598,-95076.85
-95345,-171589,-95071.85
-95340,-171580,-95066.85
-95335,-171571,-95061.85
-95330,-171562,-95056.85
-95325,-171553,-95051.85
-95320,-171544,-95046.85
-95315,-171535,-95041.85
-95310,-171526,-95036.85
-95305,-171517,-95031.85
-95300,-171508,-95026.85
-95295,-171499,-95021.85
-95290,-171490,-95016.85
-95285,-171481,-95011.85
-95280,-171472,-95006.85
-95275,-171463,-95001.85
-95270,-171454,-94996.85
-95265,-171445,-94991.85
-95260,-171436,-94986.85
-95255,-171427,-94981.85
-95250,-171418,-94976.85
-95245,-171409,-94971.85
-95240,-171400,-94966.85
-95235,-171391,-94961.85
-95230,-171382,-94956.85
-95225,-171373,-94951.85
-95220,-171364,-94946.85
-95215,-171355,-94941.85
-95210,-171346,-94936.85
-95205,-171337,-94931.85
-95200,-171328,-94926.85
-95195,-171319,-94921.85
-95190,-171310,-94916.85
-95185,-171301,-94911.85
-95180,-171292,-94906.85
-95175,-171283,-94901.85
-95170,-171274,-94896.85
-95165,-171265,-94891.85
-95160,-171256,-94886.85
-95155,-171247,-94881.85
-95150,-171238,-94876.85
-95145,-171229,-94871.85
-95140,-171220,-94866.85
-95135,-171211,-94861.85
-95130,-171202,-94856.85
-95125,-171193,-94851.85
-95120,-171184,-94846.85
-95115,-171175,-94841.85
-95110,-171166,-94836.85
-95105,-171157,-94831.85
-95100,-171148,-94826.85
-95095,-171139,-94821.85
-95090,-171130,-94816.85
-95085,-171121,-94811.85
-95080,-171112,-94806.85
-95075,-171103,-94801.85
-95070,-171094,-94796.85
-95065,-171085,-94791.85
-95060,-171076,-94786.85
-95055,-171067,-94781.85
-95050,-171058,-94776.85
-95045,-171049,-94771.85
-95040,-171040,-94766.85
-95035,-171031,-94761.85
-95030,-171022,-94756.85
-95025,-171013,-94751.85
