edad,trabajo,estado_civil ,educacion,total_hijos,credito_sin_pago,prestamo_vivienda,prestamo_personal,valor_prestamo,dias_ultimo_pago,tarjetas_credito,contacto,mes,dia_semana,duracion_ultimo_contacto,dias_ultimo_contacto,anterior_contacto,numero_empleados,si_no
30,2,1,5,8,0,0,0,0,0,1,2,5,11,122,0,0,405,0
24,5,2,7,2,0,1,0,498338,0,5,1,5,44,45,27,1,111,0
24,1,1,5,3,0,0,1,145556,0,3,2,5,11,61,23,0,970,0
38,2,1,4,3,0,1,0,240951,0,0,2,5,33,162,82,0,343,0
26,2,1,5,1,0,1,0,307525,0,2,2,6,33,126,80,0,833,0
41,10,1,4,0,0,0,0,0,0,5,2,5,22,92,0,0,952,0
34,1,1,5,1,0,1,1,223541,0,3,1,4,55,329,41,0,195,0
30,5,1,7,1,0,0,0,0,0,2,1,3,11,116,0,0,1159,1
37,1,1,7,3,0,1,0,104087,0,3,1,11,55,450,35,0,550,0
68,6,1,2,7,0,1,0,319413,0,2,1,7,33,665,52,0,1198,0
31,1,2,5,7,0,0,0,0,0,0,1,7,55,168,0,0,1281,0
48,10,3,7,6,0,1,0,413250,0,2,1,4,44,132,85,0,921,0
33,10,1,4,6,0,1,0,65804,0,1,2,5,11,349,59,0,1018,0
59,7,2,7,5,0,1,0,268331,0,0,2,5,55,249,34,0,1886,0
44,2,1,8,3,-1,1,0,164721,0,5,2,5,22,336,23,0,1838,0
28,12,2,8,7,-1,1,0,434156,0,1,2,6,44,169,18,0,1965,0
50,5,1,7,3,0,0,0,0,0,5,1,8,22,89,0,1,1636,0
33,3,1,7,8,0,0,0,0,0,3,1,11,44,55,0,0,802,0
45,8,1,4,5,0,1,0,38721,0,0,2,5,11,221,54,0,1070,0
40,5,1,7,8,0,0,0,0,0,5,1,7,11,77,0,0,1093,0
45,8,1,4,5,0,0,0,0,0,2,2,8,44,64,0,0,1649,0
43,10,3,7,8,-1,0,0,0,0,4,2,5,11,62,0,0,1063,0
54,2,1,4,5,-1,1,1,223834,0,5,2,5,11,198,41,0,737,0
53,10,3,4,8,0,0,0,0,0,5,2,5,22,249,0,0,624,0
35,7,2,7,7,0,1,0,417506,0,3,1,7,44,106,17,0,632,0
30,10,2,4,4,0,1,0,412999,0,1,1,8,55,445,58,0,57,0
25,10,1,4,0,0,1,0,499034,0,4,2,6,33,149,53,0,695,0
35,8,3,4,2,1,0,1,283382,26,2,1,8,44,66,4,0,561,0
54,1,1,7,8,0,1,0,36657,0,5,1,3,11,415,21,0,1707,1
30,2,1,3,6,0,0,0,0,0,3,1,7,11,173,0,0,1565,0
38,1,1,7,2,-1,1,0,487315,0,2,1,8,22,173,25,0,82,0
35,1,1,7,6,0,1,0,131035,0,2,1,10,44,86,69,1,488,0
47,2,1,4,6,-1,1,0,185931,0,3,2,5,33,131,21,0,134,0
32,2,2,5,3,0,1,0,170142,0,1,1,7,22,523,27,0,1206,0
27,2,1,6,4,0,1,0,312375,0,5,2,5,22,383,81,0,462,0
40,2,1,6,5,0,-1,-1,0,0,0,2,11,44,160,0,0,1212,1
31,1,1,5,0,0,0,0,0,0,5,2,5,11,220,0,0,814,0
42,2,3,6,8,0,0,0,0,0,1,1,4,11,20,0,0,827,0
40,2,1,3,6,0,1,0,260626,0,3,1,5,44,160,31,0,659,0
31,1,2,5,1,0,1,0,311618,0,0,1,11,33,79,31,0,303,0
57,10,1,2,7,-1,0,0,0,0,4,2,6,44,243,0,0,269,0
38,1,2,5,7,0,1,0,128862,0,3,1,4,44,882,23,1,885,1
39,8,1,5,8,-1,0,0,0,0,4,2,5,11,5,0,0,1502,0
37,1,3,5,7,-1,1,1,476187,0,5,2,5,33,354,61,0,1541,0
50,11,1,4,8,-1,1,1,40502,0,3,1,7,44,225,28,0,415,0
33,2,2,2,7,0,1,1,296821,0,2,1,4,44,460,0,0,209,1
41,2,1,3,7,0,-1,-1,0,0,0,2,6,22,202,0,0,1032,0
37,3,1,3,1,-1,-1,-1,0,0,4,2,5,55,71,0,0,1605,0
25,9,2,5,4,0,0,0,0,0,0,1,4,33,54,0,0,32,0
35,1,1,5,7,-1,0,0,0,0,1,1,7,55,451,0,0,789,0
46,5,1,7,7,0,0,0,0,0,2,1,7,11,662,0,0,484,1
29,1,3,7,7,0,0,0,0,0,0,2,6,11,187,0,0,623,0
35,1,1,7,4,0,1,0,354898,0,1,1,8,44,82,18,0,1113,0
48,3,2,4,8,0,1,0,295631,0,3,1,5,33,606,39,0,249,0
31,7,2,7,7,0,0,0,0,0,3,1,10,55,76,0,0,92,0
33,2,3,6,4,0,0,1,40983,0,1,2,5,44,18,38,1,1194,0
63,6,3,7,6,0,0,1,408638,0,0,1,7,44,317,36,1,553,0
38,1,1,5,6,0,1,0,481576,0,3,1,11,22,67,49,0,1451,0
34,1,3,5,4,0,0,0,0,0,2,1,11,22,492,0,3,1102,0
34,8,3,5,8,0,0,0,0,0,1,2,7,44,212,0,0,1201,0
47,5,1,7,2,0,1,0,311322,0,5,2,5,33,267,49,3,1338,0
27,2,2,6,4,0,1,0,209694,0,0,2,5,33,185,6,0,14,0
24,1,2,7,6,0,0,0,0,0,0,1,8,55,744,0,2,888,1
36,2,1,6,5,0,1,0,224587,0,0,1,5,33,499,6,0,868,0
29,8,2,5,3,-1,0,0,0,0,2,2,6,11,123,0,0,1641,0
58,6,1,6,3,0,1,0,41667,0,4,2,6,11,198,63,0,1669,0
40,10,1,4,0,0,0,0,0,0,4,1,8,22,156,0,0,107,0
31,1,2,7,2,0,1,0,123345,0,0,1,8,44,98,37,0,280,0
60,6,1,2,6,-1,0,0,0,0,0,1,8,22,332,0,0,694,0
58,4,1,2,3,-1,1,0,56469,0,3,2,7,22,35,4,0,681,0
32,2,2,6,4,0,1,0,297910,0,1,1,7,22,124,65,0,147,0
54,1,3,7,6,0,0,0,0,0,0,2,6,22,213,0,0,1069,0
43,10,1,4,8,-1,1,0,476211,0,4,1,8,11,145,7,0,1876,0
48,6,1,2,1,-1,0,0,0,0,3,2,6,33,145,0,0,1699,0
33,1,1,7,5,0,1,0,229614,0,4,1,11,44,195,40,0,1216,0
37,2,1,6,8,-1,0,0,0,0,1,2,7,11,179,0,0,132,0
35,8,3,4,1,-1,0,0,0,0,4,2,5,33,184,0,0,841,0
34,8,1,5,4,0,0,0,0,0,5,2,5,44,285,0,0,712,0
30,10,2,7,1,0,1,0,174997,0,2,1,8,44,31,62,0,1773,0
38,1,1,6,6,-1,1,0,261762,0,4,2,6,11,306,55,0,256,0
29,10,3,4,7,-1,1,0,23185,0,3,1,5,55,14,18,1,1170,0
49,3,1,7,7,0,1,0,271469,0,1,1,4,11,334,71,0,1502,0
48,5,3,7,8,0,0,0,0,0,2,1,8,55,117,0,0,831,0
33,5,1,5,1,0,1,0,494733,0,0,1,7,33,155,31,0,484,0
33,1,2,7,0,1,1,1,475259,68,1,2,4,33,117,75,0,1118,0
42,5,1,7,6,0,0,0,0,0,1,2,5,55,206,0,0,653,0
39,1,1,7,3,0,0,0,0,0,4,2,6,22,102,0,0,388,0
55,3,1,7,3,-1,1,1,168520,0,2,1,11,22,157,4,0,133,0
46,5,1,7,6,-1,1,0,250970,0,0,2,5,44,311,20,0,501,0
55,2,3,2,5,-1,0,1,207809,0,0,2,6,22,115,60,0,953,0
42,3,1,7,8,0,1,0,190966,0,2,1,11,55,58,32,1,948,0
24,9,2,5,4,-1,1,0,25691,0,3,1,5,33,290,53,1,910,0
49,2,1,6,8,1,1,0,56341,87,1,1,8,44,114,62,0,1636,0
38,1,1,8,3,0,0,1,179410,0,0,1,7,33,311,32,0,713,0
34,1,1,7,3,-1,0,0,0,0,3,1,8,22,146,0,0,1432,0
46,2,1,2,2,-1,0,0,0,0,4,1,7,55,111,0,0,743,0
45,10,1,4,6,-1,1,0,172724,0,0,1,8,44,360,82,0,631,0
40,1,1,6,1,0,1,0,343751,0,2,1,7,44,106,20,0,429,0
46,1,3,6,1,-1,0,0,0,0,0,2,5,33,423,0,0,1608,0
31,2,2,6,1,0,0,0,0,0,3,2,6,33,350,0,0,187,0
57,7,1,6,8,-1,1,1,23782,0,5,2,5,22,122,26,0,1889,0
36,1,1,7,3,0,0,0,0,0,5,1,5,11,91,0,0,1513,0
50,10,1,4,8,0,-1,-1,0,0,1,1,11,22,319,0,1,1792,0
32,1,2,5,3,0,1,1,404055,0,2,1,4,33,120,90,0,633,0
38,1,2,7,5,0,1,0,78732,0,2,1,7,11,82,83,0,926,0
50,1,1,7,1,0,-1,-1,0,0,5,1,5,33,801,0,1,1459,0
42,2,1,2,5,0,1,0,267845,0,0,2,6,44,168,48,0,1779,0
31,10,1,4,5,0,1,0,429571,0,0,1,8,33,409,49,0,775,0
27,11,2,7,5,0,1,0,400837,0,0,1,7,22,120,14,0,1379,0
44,7,3,5,1,0,1,0,405670,0,2,2,6,11,123,19,0,996,0
26,4,2,5,2,-1,1,1,266788,0,3,2,7,44,127,36,0,965,0
30,2,2,5,7,-1,1,0,360084,0,3,1,5,44,340,18,0,1613,0
39,7,2,5,1,0,1,0,373394,0,5,1,11,55,169,73,0,1658,0
64,6,1,8,0,0,0,0,0,0,1,1,8,55,252,0,0,1255,1
36,5,1,7,6,0,-1,-1,0,0,3,1,9,33,331,0,4,1798,1
42,2,1,2,3,-1,1,0,332992,0,5,2,5,33,191,45,0,326,0
42,8,2,5,6,0,0,0,0,0,2,1,5,44,122,0,0,1751,0
40,1,3,5,1,0,0,0,0,0,4,1,7,33,1776,0,0,538,0
34,8,1,5,1,0,0,1,451303,0,0,1,5,33,362,27,1,1912,0
31,2,1,3,8,1,1,1,481341,80,1,2,5,44,237,84,0,164,0
49,1,2,7,6,0,0,0,0,0,5,2,5,55,201,0,0,987,0
35,11,3,6,2,0,0,0,0,0,5,1,7,44,169,0,0,712,0
60,1,1,8,1,-1,0,1,228271,0,1,2,5,11,213,76,0,845,0
38,1,3,6,2,0,0,0,0,0,3,1,11,55,271,0,0,1754,0
32,5,1,4,4,0,0,0,0,0,2,1,5,44,125,0,1,1146,0
50,7,1,6,0,0,1,1,483340,0,1,1,5,11,673,45,1,1557,1
41,1,1,7,1,1,1,0,452749,34,1,1,4,55,961,63,0,95,1
45,1,1,5,6,0,0,0,0,0,0,2,5,33,215,0,0,1678,0
46,2,1,3,4,0,0,1,284717,0,0,2,6,22,179,22,0,172,0
55,12,1,2,1,-1,1,0,70387,0,2,2,5,11,336,25,0,32,0
33,10,3,4,3,0,1,0,234494,0,0,2,5,55,44,90,0,618,0
45,2,1,8,7,-1,0,0,0,0,1,2,5,11,223,0,0,529,0
29,2,1,5,0,0,1,0,434474,0,2,1,5,33,66,18,0,1964,0
42,10,1,5,4,-1,0,0,0,0,5,1,7,33,252,0,0,212,0
39,4,1,7,5,0,1,0,458735,0,5,2,5,11,167,51,0,654,0
58,2,1,8,2,-1,1,0,184399,0,0,1,7,44,180,77,0,1173,0
32,5,3,7,4,0,1,0,215882,0,1,1,7,22,123,25,0,664,0
44,10,3,4,2,-1,1,0,168506,0,3,1,4,44,18,4,1,955,0
49,7,1,4,1,0,0,0,0,0,4,2,5,55,374,0,0,502,0
29,2,1,3,1,0,1,0,18736,0,1,1,5,44,108,38,0,132,0
51,5,1,7,3,0,0,0,0,0,2,2,6,33,16,0,0,1735,0
36,1,1,7,2,0,1,0,180158,0,3,1,8,44,45,44,0,507,0
23,5,2,7,6,1,1,0,346004,38,0,1,4,11,122,34,0,1783,1
31,5,2,7,0,0,1,0,197760,0,0,1,8,11,72,13,0,1628,0
32,10,1,8,8,1,1,0,35807,19,3,1,7,55,107,48,0,1011,0
58,7,3,4,6,0,0,0,0,0,4,2,6,44,197,0,0,127,0
31,8,2,5,0,0,1,0,270483,0,2,1,7,33,21,31,0,1038,0
32,2,1,4,7,0,1,0,124918,0,4,1,5,55,160,79,0,944,0
43,11,1,5,5,0,0,0,0,0,3,1,8,44,319,0,2,573,0
48,1,3,4,6,0,1,0,239672,0,0,2,5,55,427,46,0,745,0
28,1,2,5,4,0,1,0,109853,0,5,1,7,44,270,65,0,1410,0
52,8,4,4,8,0,1,0,59753,0,2,2,6,55,7,54,0,390,0
36,5,1,7,8,0,0,0,0,0,1,2,6,44,22,0,0,381,0
39,1,3,5,3,0,1,1,153999,0,4,1,4,44,433,18,0,708,0
39,2,1,8,3,-1,1,0,207149,0,3,2,7,22,49,27,0,556,0
50,5,1,7,2,0,1,0,419049,0,3,2,10,44,258,16,1,785,0
29,1,2,7,5,0,1,0,300744,0,2,1,11,55,190,72,0,1452,0
49,10,3,4,5,0,1,0,15558,0,3,1,5,22,130,0,0,1206,0
36,2,1,3,2,0,0,0,0,0,4,1,11,33,130,0,0,485,0
29,2,1,6,0,-1,1,0,487014,0,1,1,5,44,182,22,0,1797,0
27,3,2,7,4,0,0,0,0,0,4,2,6,22,259,0,0,195,0
31,2,1,6,6,0,1,0,96310,0,4,1,7,33,124,24,0,8,0
43,5,2,5,8,0,0,0,0,0,4,1,11,55,40,0,0,807,0
32,2,1,8,0,0,0,0,0,0,5,1,11,44,366,0,0,418,0
45,2,1,5,3,-1,1,0,116685,0,1,1,8,33,399,59,0,358,0
56,2,1,2,3,0,0,0,0,0,5,2,6,33,133,0,0,571,0
38,1,1,5,8,0,-1,-1,0,0,2,2,5,33,23,0,0,362,0
35,2,1,6,1,-1,0,0,0,0,4,2,5,44,170,0,0,315,0
30,1,2,7,5,0,1,0,472628,0,3,1,8,55,83,38,2,510,0
46,5,1,7,8,-1,0,0,0,0,4,1,4,55,79,0,0,1986,0
43,2,1,6,0,0,1,0,11382,0,0,1,5,44,93,5,2,1500,0
38,10,1,7,7,-1,0,0,0,0,3,2,5,44,257,0,0,1143,0
52,6,1,7,0,0,1,0,125005,0,1,2,11,44,188,73,0,1444,0
30,10,4,7,0,0,0,0,0,0,3,1,10,55,131,0,1,81,0
31,11,1,5,5,1,0,0,0,73,5,1,11,22,111,0,1,1351,0
31,2,2,2,5,-1,1,0,408965,0,4,1,5,55,73,50,0,1806,0
24,10,2,4,2,0,0,0,0,0,5,1,5,44,175,0,1,43,0
34,1,2,7,4,1,1,0,452440,18,4,1,7,22,439,0,0,664,0
48,1,1,8,3,0,0,0,0,0,0,1,8,44,262,0,0,213,0
30,1,1,7,2,0,1,0,197303,0,3,1,8,44,136,59,0,915,0
23,2,2,5,2,-1,1,0,300084,0,3,1,7,11,150,15,0,1718,0
20,3,2,5,0,0,0,0,0,0,3,2,5,44,598,0,0,1009,0
43,1,3,5,6,0,0,0,0,0,5,1,7,11,96,0,0,1943,0
26,8,2,5,5,0,0,0,0,0,4,1,5,11,298,0,2,474,0
58,11,2,2,8,-1,0,0,0,0,3,2,6,11,170,0,0,1373,0
26,1,2,7,3,1,1,0,472809,15,4,1,5,22,104,45,0,739,0
35,1,1,5,2,-1,1,0,179702,0,2,2,5,55,213,68,0,1419,0
35,1,1,5,5,-1,0,0,0,0,4,1,7,11,356,0,0,1022,0
59,1,3,4,4,0,0,0,0,0,1,1,8,22,206,0,1,670,1
54,2,1,2,0,-1,0,0,0,0,1,2,5,11,102,0,0,348,0
37,2,3,6,2,1,1,0,348061,13,2,1,7,44,346,48,0,1200,0
46,10,3,4,3,0,0,0,0,0,3,2,6,33,53,0,0,1331,0
52,8,1,5,4,-1,0,0,0,0,2,1,7,11,81,0,0,960,0
52,5,1,7,3,0,1,0,476617,0,5,1,11,22,67,74,0,565,0
32,9,2,7,1,0,0,0,0,0,3,1,5,55,209,0,0,718,0
33,8,1,2,4,0,0,0,0,0,1,2,5,22,202,0,0,1281,0
33,10,3,5,4,0,1,0,276710,0,3,1,5,22,247,73,0,1032,0
42,10,2,8,1,0,0,0,0,0,5,2,5,11,230,0,0,1227,0
38,2,3,8,2,0,1,0,259498,0,1,2,5,44,451,32,0,1567,0
43,2,1,5,5,-1,1,0,77406,0,4,2,5,22,190,73,0,667,0
49,1,3,7,4,0,0,0,0,0,0,2,5,55,24,0,0,920,0
30,2,1,6,5,0,-1,-1,0,0,2,2,5,33,107,0,0,1233,0
37,10,1,4,0,0,0,0,0,0,0,1,4,55,54,0,0,1677,0
47,2,1,4,8,0,0,0,0,0,1,1,7,11,86,0,0,1278,0
32,2,1,2,3,0,1,0,202203,0,2,2,11,44,111,33,0,1761,0
32,11,1,7,2,0,1,0,96669,0,5,1,7,55,47,41,0,1186,0
35,8,3,7,8,0,1,0,378767,0,0,1,5,11,215,87,0,780,0
36,5,3,7,1,0,-1,-1,0,0,1,1,5,55,423,0,0,1318,0
41,2,1,6,2,0,1,0,485840,0,4,1,5,33,233,29,0,1803,0
48,2,1,6,5,0,1,0,286564,0,4,2,8,55,67,41,0,1422,0
43,10,1,5,8,0,0,0,0,0,2,1,7,33,1389,0,0,1390,0
57,10,1,7,5,0,0,0,0,0,2,2,5,55,50,0,0,1574,0
28,3,1,7,4,-1,0,0,0,0,1,1,4,11,774,0,0,102,0
30,8,2,5,6,-1,0,0,0,0,1,2,7,44,454,0,0,705,0
27,9,2,5,1,0,0,0,0,0,3,1,5,11,64,0,1,882,0
44,2,1,3,7,-1,1,0,333166,0,5,2,5,22,212,80,0,1579,0
43,8,1,6,5,0,0,0,0,0,5,2,6,44,110,0,0,739,0
28,10,1,6,0,0,1,0,191395,0,1,1,5,33,23,19,1,946,0
34,2,1,6,4,0,0,0,0,0,0,1,5,22,169,0,0,611,0
32,8,1,5,2,0,1,0,98395,0,3,2,7,44,251,20,0,439,0
30,1,2,7,2,0,1,0,422155,0,2,1,8,55,353,48,0,1756,0
45,1,3,7,1,0,0,0,0,0,0,1,7,55,508,0,0,288,0
49,2,1,2,2,-1,1,0,80739,0,1,2,5,33,410,13,0,426,0
45,2,1,5,3,0,1,0,22214,0,5,2,5,44,89,39,0,378,0
56,10,1,6,4,1,1,0,79723,27,1,2,5,33,52,72,0,1923,0
48,1,2,7,1,0,1,0,343102,0,4,1,8,33,118,56,2,627,1
42,11,1,5,4,1,1,0,227012,53,3,1,11,22,154,62,0,1535,0
51,5,1,7,8,0,1,1,249335,0,0,2,6,11,409,83,0,1237,0
54,2,1,6,1,0,0,0,0,0,3,1,6,55,258,0,0,365,1
40,1,1,7,7,1,1,0,115228,70,4,1,8,33,335,33,0,1352,0
47,2,2,6,2,1,1,0,456591,17,1,2,5,44,54,61,0,235,0
29,10,2,7,1,0,0,0,0,0,2,1,8,33,896,0,0,1074,0
37,1,1,7,5,0,1,1,246474,0,1,1,6,11,412,28,0,1485,1
35,10,1,6,2,0,0,0,0,0,3,2,5,33,24,0,0,1082,0
54,10,1,4,6,0,1,0,481500,0,2,1,11,22,149,5,0,1213,0
45,12,1,7,3,0,1,0,34323,0,0,1,5,44,254,48,1,768,0
35,1,2,7,5,0,1,0,51158,0,0,1,7,55,564,14,0,1026,0
37,2,1,4,1,0,1,0,270467,0,3,1,5,11,185,43,1,423,0
38,5,1,6,5,0,1,0,81629,0,3,2,5,22,1000,87,0,1043,1
33,2,1,6,0,-1,1,0,37602,0,0,2,5,11,88,76,0,613,0
31,2,3,6,1,0,1,0,461558,0,5,2,6,44,166,4,0,1659,0
34,1,1,7,2,-1,0,0,0,0,3,2,5,44,134,0,0,11,0
51,2,3,5,4,0,0,0,0,0,4,1,5,22,131,0,0,782,0
38,2,1,5,4,-1,1,0,383891,0,0,1,5,33,118,17,1,1636,0
25,1,2,6,7,0,0,0,0,0,3,1,7,44,81,0,0,409,0
35,10,2,4,0,0,1,0,313055,0,4,1,8,33,75,55,0,533,0
55,7,1,7,2,0,1,0,318129,0,4,1,5,11,123,55,0,1982,0
37,1,1,5,1,-1,1,0,21034,0,0,2,5,11,313,25,0,432,0
31,10,1,5,8,0,0,0,0,0,2,1,8,44,124,0,0,686,0
36,8,1,5,8,0,-1,-1,0,0,5,2,5,44,262,0,0,1025,0
59,6,1,2,3,-1,1,1,271938,0,3,2,5,33,571,56,0,203,0
37,2,1,3,1,0,0,0,0,0,4,2,10,55,131,0,0,1827,0
74,6,3,5,7,0,1,1,162213,0,2,2,12,11,88,90,0,789,0
44,10,3,6,2,-1,1,1,125574,0,4,2,5,22,388,60,0,939,0
29,10,2,4,8,0,0,0,0,0,4,1,8,11,157,0,0,1478,0
32,8,1,2,0,0,1,1,259450,0,5,1,11,11,111,14,0,759,0
45,8,3,6,6,0,1,0,400098,0,4,1,4,11,325,70,0,1968,0
49,2,1,8,8,-1,0,0,0,0,5,2,6,33,112,0,0,128,0
25,8,2,8,8,0,0,0,0,0,4,2,7,55,662,0,0,1800,0
34,2,3,2,6,-1,1,0,430969,0,2,1,7,11,246,3,0,1252,0
37,10,2,4,8,0,1,0,117020,0,1,1,8,44,115,69,0,766,0
48,10,2,7,0,-1,1,0,398356,0,4,1,8,22,159,0,0,317,0
52,8,1,5,5,0,1,0,263507,0,3,2,8,11,575,13,0,986,0
30,10,2,4,4,0,0,0,0,0,3,1,8,22,216,0,0,507,0
57,6,1,6,2,0,1,0,406857,0,3,1,8,11,342,25,0,364,0
38,2,1,2,5,0,1,0,116662,0,5,1,11,11,117,57,0,1910,0
31,2,2,5,2,0,0,0,0,0,5,1,11,33,145,0,0,995,0
40,10,1,6,1,-1,1,0,419917,0,3,2,6,22,168,41,0,836,0
38,8,1,5,6,0,1,1,183625,0,3,2,5,11,506,46,0,1836,0
33,5,2,7,5,0,0,0,0,0,4,2,5,55,261,0,0,135,0
28,1,2,7,8,0,1,0,39987,0,4,1,9,11,387,10,3,934,0
33,10,1,4,7,0,1,0,25473,0,1,1,8,11,417,18,0,1321,0
58,6,1,2,5,0,0,0,0,0,2,1,7,22,81,0,0,528,0
30,7,1,4,4,0,1,0,198070,0,3,1,5,22,98,25,0,1122,0
42,7,1,4,4,-1,0,0,0,0,2,1,5,55,160,0,1,883,0
35,10,3,2,5,0,0,0,0,0,3,1,11,22,363,0,0,477,1
41,4,1,5,5,0,1,0,113822,0,2,1,7,55,440,18,0,834,0
31,7,2,7,2,0,0,0,0,0,2,1,11,55,906,0,1,1384,0
40,1,1,5,7,0,0,0,0,0,5,2,5,22,167,0,0,1142,0
80,6,1,2,0,0,0,0,0,0,0,1,10,22,242,0,2,896,1
47,2,1,5,2,0,0,0,0,0,2,1,4,44,439,0,0,1757,1
39,4,1,3,6,1,1,0,280679,12,0,1,7,55,76,76,0,1001,0
30,10,1,7,6,0,0,0,0,0,3,1,8,55,65,0,0,1950,0
33,2,1,5,3,1,1,0,274958,39,1,2,5,33,233,64,0,242,0
50,5,1,7,3,-1,0,0,0,0,0,2,5,55,136,0,0,911,0
33,2,1,6,8,1,1,0,395330,12,1,1,5,55,656,14,0,1078,1
40,10,1,4,2,1,1,1,208409,38,0,1,7,33,323,69,0,871,0
40,6,1,2,6,-1,1,0,38652,0,5,1,7,55,1689,80,0,1919,1
30,2,1,6,8,0,1,0,361590,0,2,2,6,55,185,90,0,313,0
23,5,2,7,5,0,1,0,368173,0,3,1,7,44,134,1,0,813,0
28,2,1,6,7,-1,0,0,0,0,1,1,5,55,182,0,1,77,0
41,7,1,6,3,0,1,0,90981,0,1,1,5,44,1135,19,1,1948,1
26,9,2,6,7,0,0,0,0,0,4,2,8,33,449,0,0,1516,1
